Frame,Nose_X,Nose_Y,Nose_Score,LEye_X,LEye_Y,LEye_Score,REye_X,REye_Y,REye_Score,LEar_X,LEar_Y,LEar_Score,REar_X,REar_Y,REar_Score,LShoulder_X,LShoulder_Y,LShoulder_Score,RShoulder_X,RShoulder_Y,RShoulder_Score,LElbow_X,LElbow_Y,LElbow_Score,RElbow_X,RElbow_Y,RElbow_Score,LWrist_X,LWrist_Y,LWrist_Score,RWrist_X,RWrist_Y,RWrist_Score,LHip_X,LHip_Y,LHip_Score,RHip_X,RHip_Y,RHip_Score,LKnee_X,LKnee_Y,LKnee_Score,RKnee_X,RKnee_Y,RKnee_Score,LAnkle_X,LAnkle_Y,LAnkle_Score,RAnkle_X,RAnkle_Y,RAnkle_Score,Head_X,Head_Y,Head_Score,Neck_X,Neck_Y,Neck_Score,Hip_X,Hip_Y,Hip_Score,LBigToe_X,LBigToe_Y,LBigToe_Score,RBigToe_X,RBigToe_Y,RBigToe_Score,LSmallToe_X,LSmallToe_Y,LSmallToe_Score,RSmallToe_X,RSmallToe_Y,RSmallToe_Score,LHeel_X,LHeel_Y,LHeel_Score,RHeel_X,RHeel_Y,RHeel_Score,RKnee,LKnee,RElbow,LElbow,RAnkle,LAnkle,Neck,Hip,TL_X,TL_Y,BR_X,BR_Y,BBOX_SCORE
21,319.59,137.53,0.9387,321.95,135.16,0.95,319.59,136.34,0.9224,326.68,135.16,0.9746,325.5,135.16,0.6903,334.95,145.8,0.9336,321.95,146.98,0.9056,347.95,154.07,0.9379,325.5,158.8,0.8097,337.32,161.16,0.9062,320.77,162.34,0.9239,334.95,174.16,0.9051,327.86,174.16,0.9116,327.86,195.43,0.9329,330.22,195.43,0.8863,340.86,206.07,0.8097,338.5,214.34,0.7787,323.13,129.25,0.9019,326.68,142.25,0.9254,331.41,172.98,0.9325,340.86,217.89,0.8577,333.77,220.25,0.7933,343.22,217.89,0.8764,333.77,219.07,0.78,345.59,206.07,0.8764,339.68,219.07,0.7912,17.29,69.15,69.83,113.84,62.29,50.71,6.51,36.87,317.43,130.55,351.29,221.31,0.99
22,320.51,135.94,0.9451,321.73,134.72,0.9519,319.3,134.72,0.9288,326.6,133.5,0.9738,321.73,134.72,0.6626,335.12,143.24,0.9375,321.73,145.67,0.9267,347.3,152.98,0.9328,324.16,157.85,0.823,338.77,159.07,0.9408,320.51,160.28,0.9204,333.9,173.67,0.9149,327.82,173.67,0.8831,325.38,193.15,0.8825,335.12,194.37,0.9306,336.34,211.41,0.851,341.21,211.41,0.8707,321.73,128.63,0.8959,326.6,140.8,0.9498,331.47,172.46,0.9348,332.69,219.93,0.8387,337.56,221.15,0.7821,335.12,221.15,0.8871,337.56,221.15,0.8447,339.99,212.63,0.837,346.08,213.85,0.8651,0.21,54.59,67.62,105.8,40.21,54.16,13.06,45.0,316.82,128.75,352.21,222.25,0.98
23,320.03,135.91,0.9445,321.3,133.37,0.9366,318.76,133.37,0.9197,327.64,133.37,0.9718,323.83,133.37,0.6824,335.24,142.25,0.9483,321.3,146.05,0.9021,347.92,151.12,0.9223,322.56,158.73,0.8695,339.05,157.46,0.9387,320.03,160.0,0.8657,333.98,172.68,0.8809,327.64,172.68,0.9231,325.1,191.69,0.8915,335.24,191.69,0.8165,331.44,215.78,0.8683,342.85,210.71,0.934,322.56,127.03,0.9021,326.37,139.71,0.9524,330.17,171.41,0.9389,326.37,223.39,0.8522,342.85,219.59,0.8458,330.17,223.39,0.8943,342.85,218.32,0.8631,332.71,218.32,0.8164,346.65,211.98,0.8913,0.0,39.76,69.15,109.47,21.8,48.43,9.86,45.0,316.76,127.16,352.46,224.53,0.99
24,318.96,135.19,0.9384,321.49,132.66,0.936,318.96,132.66,0.9467,326.57,132.66,0.9399,324.03,132.66,0.6784,335.45,142.81,0.9508,320.23,145.34,0.919,346.87,150.42,0.9584,321.49,156.76,0.8415,339.26,156.76,0.9243,318.96,158.03,0.8658,334.18,170.72,0.9036,326.57,171.99,0.9304,325.3,189.75,0.8815,336.72,192.29,0.8921,325.3,215.13,0.8853,345.6,208.78,0.9263,322.76,127.58,0.915,326.57,139.0,0.9535,330.38,170.72,0.9513,318.96,220.2,0.8217,346.87,218.93,0.8902,320.23,221.47,0.8399,345.6,217.67,0.9202,326.57,218.93,0.8774,348.14,208.78,0.9089,1.74,25.02,69.78,106.5,21.18,51.34,11.59,18.43,315.75,125.17,353.89,222.61,0.99
25,319.13,133.24,0.9548,320.42,131.96,0.9404,319.13,131.96,0.9324,326.84,130.67,0.9125,324.27,131.96,0.6819,334.54,140.94,0.9557,320.42,143.51,0.9393,347.37,149.93,0.943,319.13,155.06,0.8339,338.39,156.34,0.953,319.13,156.34,0.8436,333.25,169.18,0.9097,325.55,170.46,0.9287,325.55,191.0,0.9224,334.54,192.28,0.8746,322.98,214.1,0.8788,348.65,205.12,0.9752,322.98,125.54,0.9158,325.55,138.38,0.9212,329.4,169.18,0.9835,316.57,217.95,0.7298,349.94,215.38,0.873,317.85,219.23,0.7558,348.65,215.38,0.8851,324.27,217.95,0.8413,351.22,205.12,0.9099,25.35,13.1,6.34,109.47,40.6,52.7,4.19,18.44,315.83,123.1,354.52,221.67,0.98
26,318.23,134.25,0.919,320.75,131.73,0.9394,318.23,131.73,0.9228,325.78,131.73,0.9027,325.78,130.47,0.6835,334.59,141.8,0.9357,320.75,144.31,0.9475,347.17,150.61,0.8994,319.49,154.38,0.8526,337.11,158.16,0.9439,316.97,158.16,0.8883,332.07,170.74,0.9182,324.52,170.74,0.8947,324.52,192.13,0.919,330.81,193.39,0.9939,322.0,216.04,0.8581,347.17,200.94,0.9709,322.0,125.44,0.8933,325.78,138.02,0.9657,328.3,169.48,0.9407,313.2,222.34,0.6939,350.95,212.27,0.9274,314.45,222.34,0.7635,350.95,211.01,0.8996,323.26,218.56,0.8144,350.95,199.69,0.8802,49.7,13.43,26.57,108.14,46.79,48.45,12.13,36.87,315.17,124.3,355.27,220.95,0.98
27,317.89,134.27,0.9531,320.45,133.0,0.9191,317.89,133.0,0.9066,325.55,133.0,0.9422,323.0,133.0,0.6824,333.2,143.2,0.9248,319.17,145.75,0.9433,344.68,153.41,0.9332,319.17,157.23,0.8204,335.75,158.51,0.9228,315.34,159.78,0.8748,330.65,171.26,0.9089,323.0,172.54,0.8882,324.27,192.95,0.9501,328.1,194.22,0.9207,321.72,218.46,0.8903,345.96,199.33,0.8934,321.72,126.62,0.9118,324.27,139.37,0.9167,326.82,171.26,0.9417,314.07,224.84,0.8838,351.06,208.26,0.9261,316.62,226.11,0.9088,349.78,206.98,0.884,323.0,221.01,0.8241,351.06,198.05,0.7789,60.81,10.68,56.31,108.62,44.31,44.48,6.74,18.44,312.63,126.75,355.05,224.71,0.97
28,316.74,135.58,0.9372,319.0,133.32,0.9615,315.6,133.32,0.9287,324.66,134.45,0.913,323.53,134.45,0.6707,332.59,145.77,0.9042,319.0,145.77,0.944,345.04,155.96,0.9288,319.0,157.09,0.8777,333.72,160.49,0.9459,314.47,161.62,0.9384,329.19,174.07,0.916,322.4,174.07,0.9036,322.4,195.58,0.9242,323.53,196.72,0.9086,323.53,218.23,0.9476,342.78,197.85,0.9164,320.13,127.66,0.8812,323.53,140.11,0.9254,324.66,172.94,0.9441,316.74,223.89,0.8813,348.44,205.77,0.9258,319.0,225.02,0.8658,348.44,204.64,0.8603,325.79,221.62,0.8283,347.3,195.58,0.8077,83.77,20.39,45.0,118.91,51.1,53.06,13.28,40.6,313.44,130.03,350.6,216.98,0.98
29,316.25,136.96,0.9186,318.56,134.64,0.9273,315.09,134.64,0.9002,324.36,134.64,0.9498,322.04,134.64,0.6634,331.32,146.23,0.918,317.41,146.23,0.9071,342.92,158.99,0.9322,319.72,158.99,0.8923,331.32,163.63,0.9264,315.09,164.79,0.9579,329.0,174.07,0.9352,322.04,174.07,0.9192,322.04,197.26,0.9384,320.88,197.26,0.9378,326.68,219.3,0.8841,340.6,198.42,0.8425,318.56,127.68,0.915,323.2,141.59,0.9199,325.52,172.91,0.9361,319.72,225.09,0.836,346.4,207.7,0.845,322.04,225.09,0.8933,345.24,205.38,0.7772,330.16,222.77,0.8692,342.92,197.26,0.7167,89.5,28.59,48.96,110.47,54.63,62.08,14.2,36.87,312.46,130.11,349.02,219.18,0.98
30,314.86,136.95,0.9325,317.28,134.53,0.9312,314.86,134.53,0.9604,323.34,134.53,0.9672,316.07,135.74,0.6391,330.61,146.65,0.9089,317.28,146.65,0.9267,340.31,159.99,0.9372,319.71,158.77,0.8503,328.19,163.62,0.9407,316.07,164.83,0.9323,329.4,174.53,0.9364,320.92,174.53,0.9395,324.55,198.77,0.9301,318.49,198.77,0.8815,330.61,219.38,0.9076,334.25,206.05,0.5121,318.49,127.26,0.9054,322.13,141.8,0.9486,325.77,173.32,0.9403,325.77,225.44,0.8953,336.68,212.11,0.7379,328.19,225.44,0.8937,335.46,210.89,0.6633,334.25,223.02,0.9579,339.1,202.41,0.6421,70.94,27.7,42.27,109.33,43.42,55.05,7.45,32.47,311.43,129.8,346.16,222.89,0.99
